caseid,prompt,participant_id,tier,answer
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__demos,"You are a 39-year-old man living in the United States. You are not a student.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb,demos,"{""gt_group_ca"":11,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__employment,"You are a 39-year-old man living in the United States. You are not a student.

You work full-time.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb,employment,"{""gt_group_ca"":11,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__geo,"You are a 39-year-old man living in the United States. You are not a student.

You work full-time.

Your approximate survey location is near latitude 36.8 and longitude -95.3.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb,geo,"{""gt_group_ca"":11,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__transit,"You are a 39-year-old man living in the United States. You are not a student.

You work full-time.

Your approximate survey location is near latitude 36.8 and longitude -95.3.

In the last three months, you never used public transportation (bus, train, tram, etc.). In the last three months, you never used ride share platforms (Lyft, Uber, DiDi, etc.).

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb,transit,"{""gt_group_ca"":11,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__full,"You are a 39-year-old man living in the United States. You are not a student.

You work full-time.

Your approximate survey location is near latitude 36.8 and longitude -95.3.

In the last three months, you never used public transportation (bus, train, tram, etc.). In the last three months, you never used ride share platforms (Lyft, Uber, DiDi, etc.).

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb,full,"{""gt_group_ca"":11,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d__demos,"You are a 61-year-old man living in the United Kingdom. You are not a student.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d,demos,"{""gt_group_ca"":10,""gt_interpersonal_ca"":6,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d__employment,"You are a 61-year-old man living in the United Kingdom. You are not a student.

Your employment status is Other.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d,employment,"{""gt_group_ca"":10,""gt_interpersonal_ca"":6,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d__geo,"You are a 61-year-old man living in the United Kingdom. You are not a student.

Your employment status is Other.

Your approximate survey location is near latitude 52.0 and longitude -1.9.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d,geo,"{""gt_group_ca"":10,""gt_interpersonal_ca"":6,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d__transit,"You are a 61-year-old man living in the United Kingdom. You are not a student.

Your employment status is Other.

Your approximate survey location is near latitude 52.0 and longitude -1.9.

In the last three months, you never used public transportation (bus, train, tram, etc.). In the last three months, you never used ride share platforms (Lyft, Uber, DiDi, etc.).

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d,transit,"{""gt_group_ca"":10,""gt_interpersonal_ca"":6,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d__full,"You are a 61-year-old man living in the United Kingdom. You are not a student.

Your employment status is Other.

Your approximate survey location is near latitude 52.0 and longitude -1.9.

In the last three months, you never used public transportation (bus, train, tram, etc.). In the last three months, you never used ride share platforms (Lyft, Uber, DiDi, etc.).

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d,full,"{""gt_group_ca"":10,""gt_interpersonal_ca"":6,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679__demos,"You are a 45-year-old man living in the United States. You are not a student.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679,demos,"{""gt_group_ca"":8,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679__employment,"You are a 45-year-old man living in the United States. You are not a student.

You work full-time.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679,employment,"{""gt_group_ca"":8,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679__geo,"You are a 45-year-old man living in the United States. You are not a student.

You work full-time.

Your approximate survey location is near latitude 36.8 and longitude -81.2.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679,geo,"{""gt_group_ca"":8,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679__transit,"You are a 45-year-old man living in the United States. You are not a student.

You work full-time.

Your approximate survey location is near latitude 36.8 and longitude -81.2.

In the last three months, you never used public transportation (bus, train, tram, etc.). In the last three months, you used ride share platforms (Lyft, Uber, DiDi, etc.) 2-4 days a month. On a typical day of ride share use, you take 1-2 rides.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679,transit,"{""gt_group_ca"":8,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679__full,"You are a 45-year-old man living in the United States. You are not a student.

You work full-time.

Your approximate survey location is near latitude 36.8 and longitude -81.2.

In the last three months, you never used public transportation (bus, train, tram, etc.). In the last three months, you used ride share platforms (Lyft, Uber, DiDi, etc.) 2-4 days a month. On a typical day of ride share use, you take 1-2 rides.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679,full,"{""gt_group_ca"":8,""gt_interpersonal_ca"":12,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615__demos,"You are a 42-year-old woman living in the United States. You are not a student.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615,demos,"{""gt_group_ca"":13,""gt_interpersonal_ca"":11,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615__employment,"You are a 42-year-old woman living in the United States. You are not a student.

You work full-time.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615,employment,"{""gt_group_ca"":13,""gt_interpersonal_ca"":11,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615__geo,"You are a 42-year-old woman living in the United States. You are not a student.

You work full-time.

Your approximate survey location is near latitude 32.8 and longitude -79.6.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615,geo,"{""gt_group_ca"":13,""gt_interpersonal_ca"":11,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615__transit,"You are a 42-year-old woman living in the United States. You are not a student.

You work full-time.

Your approximate survey location is near latitude 32.8 and longitude -79.6.

In the last three months, you used public transportation (bus, train, tram, etc.) 0-1 days a month. On a typical day of public transportation use, you take 1-2 rides. In the last three months, you used ride share platforms (Lyft, Uber, DiDi, etc.) 0-1 days a month. On a typical day of ride share use, you take 1-2 rides.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615,transit,"{""gt_group_ca"":13,""gt_interpersonal_ca"":11,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615__full,"You are a 42-year-old woman living in the United States. You are not a student.

You work full-time.

Your approximate survey location is near latitude 32.8 and longitude -79.6.

In the last three months, you used public transportation (bus, train, tram, etc.) 0-1 days a month. On a typical day of public transportation use, you take 1-2 rides. In the last three months, you used ride share platforms (Lyft, Uber, DiDi, etc.) 0-1 days a month. On a typical day of ride share use, you take 1-2 rides.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615,full,"{""gt_group_ca"":13,""gt_interpersonal_ca"":11,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1__demos,"You are a 48-year-old man living in the United States. You are not a student.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1,demos,"{""gt_group_ca"":7,""gt_interpersonal_ca"":9,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1__employment,"You are a 48-year-old man living in the United States. You are not a student.

You work full-time.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1,employment,"{""gt_group_ca"":7,""gt_interpersonal_ca"":9,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1__geo,"You are a 48-year-old man living in the United States. You are not a student.

You work full-time.

Your approximate survey location is near latitude 41.0 and longitude -73.9.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1,geo,"{""gt_group_ca"":7,""gt_interpersonal_ca"":9,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1__transit,"You are a 48-year-old man living in the United States. You are not a student.

You work full-time.

Your approximate survey location is near latitude 41.0 and longitude -73.9.

In the last three months, you used public transportation (bus, train, tram, etc.) 0-1 days a month. On a typical day of public transportation use, you take 1-2 rides. In the last three months, you used ride share platforms (Lyft, Uber, DiDi, etc.) 2-4 days a month. On a typical day of ride share use, you take 1-2 rides.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1,transit,"{""gt_group_ca"":7,""gt_interpersonal_ca"":9,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1__full,"You are a 48-year-old man living in the United States. You are not a student.

You work full-time.

Your approximate survey location is near latitude 41.0 and longitude -73.9.

In the last three months, you used public transportation (bus, train, tram, etc.) 0-1 days a month. On a typical day of public transportation use, you take 1-2 rides. In the last three months, you used ride share platforms (Lyft, Uber, DiDi, etc.) 2-4 days a month. On a typical day of ride share use, you take 1-2 rides.

Rate your communication apprehension in two contexts independently:
(1) group discussions, and (2) one-on-one conversations with new people.

For each context, report an integer from 6 (very low) to 30 (very high) and its band (low / moderate / high). Mid-scale scores are common (about 14–19). Travel and ride-share habits are background context — they do not by themselves determine one-on-one conversation anxiety.

Return ONLY the JSON object specified in the system instructions.",e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1,full,"{""gt_group_ca"":7,""gt_interpersonal_ca"":9,""gt_group_band"":""low"",""gt_interpersonal_band"":""low""}"
