caseid,participant_id,tier,provider,model,raw_response,error,pred_group_ca,pred_interpersonal_ca,pred_group_band,pred_interpersonal_band,Age,Sex,Country of residence,Student status,Employment status,LocationLatitude,LocationLongitude,gt_group_ca,gt_interpersonal_ca,gt_group_band,gt_interpersonal_band,error_group,abs_error_group,score_distance_group,norm_score_distance_group,exact_match_group,pred_group_band_reported,pred_group_band_resolved,band_match_group,band_distance_group,norm_band_distance_group,error_interpersonal,abs_error_interpersonal,score_distance_interpersonal,norm_score_distance_interpersonal,exact_match_interpersonal,pred_interpersonal_band_reported,pred_interpersonal_band_resolved,band_match_interpersonal,band_distance_interpersonal,norm_band_distance_interpersonal
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__demos,6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb,demos,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,39.0,Male,United States,No,Full-Time,36.7595,-95.2947,11,12,low,low,-1,1,1,0.041666666666666664,False,moderate,low,True,0,0.0,4,4,4,0.16666666666666666,False,moderate,moderate,False,1,0.5
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__employment,6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb,employment,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,39.0,Male,United States,No,Full-Time,36.7595,-95.2947,11,12,low,low,-1,1,1,0.041666666666666664,False,moderate,low,True,0,0.0,4,4,4,0.16666666666666666,False,moderate,moderate,False,1,0.5
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__geo,6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb,geo,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,39.0,Male,United States,No,Full-Time,36.7595,-95.2947,11,12,low,low,-1,1,1,0.041666666666666664,False,moderate,low,True,0,0.0,4,4,4,0.16666666666666666,False,moderate,moderate,False,1,0.5
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__transit,6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb,transit,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,12,moderate,moderate,39.0,Male,United States,No,Full-Time,36.7595,-95.2947,11,12,low,low,-1,1,1,0.041666666666666664,False,moderate,low,True,0,0.0,0,0,0,0.0,True,moderate,low,True,0,0.0
6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb__full,6ac07c3845b0ce5cac4ab3569ea70236b7cfa8fd51576e12226279a282182dcb,full,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,12,moderate,moderate,39.0,Male,United States,No,Full-Time,36.7595,-95.2947,11,12,low,low,-1,1,1,0.041666666666666664,False,moderate,low,True,0,0.0,0,0,0,0.0,True,moderate,low,True,0,0.0
c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d__demos,c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d,demos,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,61.0,Male,United Kingdom,No,Other,51.9759,-1.8685,10,6,low,low,0,0,0,0.0,True,moderate,low,True,0,0.0,10,10,10,0.4166666666666667,False,moderate,moderate,False,1,0.5
c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d__employment,c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d,employment,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,61.0,Male,United Kingdom,No,Other,51.9759,-1.8685,10,6,low,low,0,0,0,0.0,True,moderate,low,True,0,0.0,10,10,10,0.4166666666666667,False,moderate,moderate,False,1,0.5
c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d__geo,c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d,geo,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,61.0,Male,United Kingdom,No,Other,51.9759,-1.8685,10,6,low,low,0,0,0,0.0,True,moderate,low,True,0,0.0,10,10,10,0.4166666666666667,False,moderate,moderate,False,1,0.5
c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d__transit,c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d,transit,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,12,moderate,moderate,61.0,Male,United Kingdom,No,Other,51.9759,-1.8685,10,6,low,low,0,0,0,0.0,True,moderate,low,True,0,0.0,6,6,6,0.25,False,moderate,low,True,0,0.0
c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d__full,c67b3266ecd4af12979c1f67d1efffd0d3e9bfbc567d211e5b7a0724b7890b7d,full,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,12,moderate,moderate,61.0,Male,United Kingdom,No,Other,51.9759,-1.8685,10,6,low,low,0,0,0,0.0,True,moderate,low,True,0,0.0,6,6,6,0.25,False,moderate,low,True,0,0.0
1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679__demos,1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679,demos,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,45.0,Male,United States,No,Full-Time,36.8237,-81.213,8,12,low,low,2,2,2,0.08333333333333333,False,moderate,low,True,0,0.0,4,4,4,0.16666666666666666,False,moderate,moderate,False,1,0.5
1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679__employment,1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679,employment,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,45.0,Male,United States,No,Full-Time,36.8237,-81.213,8,12,low,low,2,2,2,0.08333333333333333,False,moderate,low,True,0,0.0,4,4,4,0.16666666666666666,False,moderate,moderate,False,1,0.5
1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679__geo,1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679,geo,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,45.0,Male,United States,No,Full-Time,36.8237,-81.213,8,12,low,low,2,2,2,0.08333333333333333,False,moderate,low,True,0,0.0,4,4,4,0.16666666666666666,False,moderate,moderate,False,1,0.5
1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679__transit,1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679,transit,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,12,moderate,moderate,45.0,Male,United States,No,Full-Time,36.8237,-81.213,8,12,low,low,2,2,2,0.08333333333333333,False,moderate,low,True,0,0.0,0,0,0,0.0,True,moderate,low,True,0,0.0
1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679__full,1cefb8d34b92489e8ffd9cf34c469964f0527b1cae33e00a8a52f4aef0d66679,full,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 12,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,12,moderate,moderate,45.0,Male,United States,No,Full-Time,36.8237,-81.213,8,12,low,low,2,2,2,0.08333333333333333,False,moderate,low,True,0,0.0,0,0,0,0.0,True,moderate,low,True,0,0.0
8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615__demos,8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615,demos,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,42.0,Female,United States,No,Full-Time,32.8088,-79.606,13,11,low,low,-3,3,3,0.125,False,moderate,low,True,0,0.0,5,5,5,0.20833333333333334,False,moderate,moderate,False,1,0.5
8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615__employment,8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615,employment,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,42.0,Female,United States,No,Full-Time,32.8088,-79.606,13,11,low,low,-3,3,3,0.125,False,moderate,low,True,0,0.0,5,5,5,0.20833333333333334,False,moderate,moderate,False,1,0.5
8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615__geo,8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615,geo,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,42.0,Female,United States,No,Full-Time,32.8088,-79.606,13,11,low,low,-3,3,3,0.125,False,moderate,low,True,0,0.0,5,5,5,0.20833333333333334,False,moderate,moderate,False,1,0.5
8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615__transit,8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615,transit,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,42.0,Female,United States,No,Full-Time,32.8088,-79.606,13,11,low,low,-3,3,3,0.125,False,moderate,low,True,0,0.0,5,5,5,0.20833333333333334,False,moderate,moderate,False,1,0.5
8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615__full,8b18183122f0ff05f1e8d91d221d64f2c42a93cbe76493b2b687865c2bd75615,full,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,42.0,Female,United States,No,Full-Time,32.8088,-79.606,13,11,low,low,-3,3,3,0.125,False,moderate,low,True,0,0.0,5,5,5,0.20833333333333334,False,moderate,moderate,False,1,0.5
e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1__demos,e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1,demos,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,48.0,Male,United States,No,Full-Time,40.9726,-73.9466,7,9,low,low,3,3,3,0.125,False,moderate,low,True,0,0.0,7,7,7,0.2916666666666667,False,moderate,moderate,False,1,0.5
e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1__employment,e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1,employment,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,48.0,Male,United States,No,Full-Time,40.9726,-73.9466,7,9,low,low,3,3,3,0.125,False,moderate,low,True,0,0.0,7,7,7,0.2916666666666667,False,moderate,moderate,False,1,0.5
e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1__geo,e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1,geo,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,48.0,Male,United States,No,Full-Time,40.9726,-73.9466,7,9,low,low,3,3,3,0.125,False,moderate,low,True,0,0.0,7,7,7,0.2916666666666667,False,moderate,moderate,False,1,0.5
e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1__transit,e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1,transit,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,48.0,Male,United States,No,Full-Time,40.9726,-73.9466,7,9,low,low,3,3,3,0.125,False,moderate,low,True,0,0.0,7,7,7,0.2916666666666667,False,moderate,moderate,False,1,0.5
e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1__full,e016f6176ab1858386b30c35d540459c50cb23634fe0ca1180801474966f44a1,full,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,48.0,Male,United States,No,Full-Time,40.9726,-73.9466,7,9,low,low,3,3,3,0.125,False,moderate,low,True,0,0.0,7,7,7,0.2916666666666667,False,moderate,moderate,False,1,0.5
dd906887a20ca90b810e521efb8f169ac1d5796fbef5c01a408dde0a0f914d24__demos,dd906887a20ca90b810e521efb8f169ac1d5796fbef5c01a408dde0a0f914d24,demos,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,27.0,Female,United States,No,Full-Time,41.2026,-73.1966,17,18,moderate,moderate,-7,7,7,0.2916666666666667,False,moderate,low,False,1,0.5,-2,2,2,0.08333333333333333,False,moderate,moderate,True,0,0.0
dd906887a20ca90b810e521efb8f169ac1d5796fbef5c01a408dde0a0f914d24__employment,dd906887a20ca90b810e521efb8f169ac1d5796fbef5c01a408dde0a0f914d24,employment,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,27.0,Female,United States,No,Full-Time,41.2026,-73.1966,17,18,moderate,moderate,-7,7,7,0.2916666666666667,False,moderate,low,False,1,0.5,-2,2,2,0.08333333333333333,False,moderate,moderate,True,0,0.0
dd906887a20ca90b810e521efb8f169ac1d5796fbef5c01a408dde0a0f914d24__geo,dd906887a20ca90b810e521efb8f169ac1d5796fbef5c01a408dde0a0f914d24,geo,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,27.0,Female,United States,No,Full-Time,41.2026,-73.1966,17,18,moderate,moderate,-7,7,7,0.2916666666666667,False,moderate,low,False,1,0.5,-2,2,2,0.08333333333333333,False,moderate,moderate,True,0,0.0
dd906887a20ca90b810e521efb8f169ac1d5796fbef5c01a408dde0a0f914d24__transit,dd906887a20ca90b810e521efb8f169ac1d5796fbef5c01a408dde0a0f914d24,transit,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,27.0,Female,United States,No,Full-Time,41.2026,-73.1966,17,18,moderate,moderate,-7,7,7,0.2916666666666667,False,moderate,low,False,1,0.5,-2,2,2,0.08333333333333333,False,moderate,moderate,True,0,0.0
dd906887a20ca90b810e521efb8f169ac1d5796fbef5c01a408dde0a0f914d24__full,dd906887a20ca90b810e521efb8f169ac1d5796fbef5c01a408dde0a0f914d24,full,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,27.0,Female,United States,No,Full-Time,41.2026,-73.1966,17,18,moderate,moderate,-7,7,7,0.2916666666666667,False,moderate,low,False,1,0.5,-2,2,2,0.08333333333333333,False,moderate,moderate,True,0,0.0
be50e58a727d0044c244bd159ebad85fd6a362ac924a67e0024fe229b9217366__demos,be50e58a727d0044c244bd159ebad85fd6a362ac924a67e0024fe229b9217366,demos,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,22.0,Female,United States,No,Part-Time,41.3699,-74.2191,6,12,low,low,4,4,4,0.16666666666666666,False,moderate,low,True,0,0.0,4,4,4,0.16666666666666666,False,moderate,moderate,False,1,0.5
be50e58a727d0044c244bd159ebad85fd6a362ac924a67e0024fe229b9217366__employment,be50e58a727d0044c244bd159ebad85fd6a362ac924a67e0024fe229b9217366,employment,vllm,meta-llama/Llama-3.2-3B-Instruct,"{   ""self_reported_group_ca"": 10,   ""self_reported_interpersonal_ca"": 16,   ""self_reported_band_group"": ""moderate"",   ""self_reported_band_interpersonal"": ""moderate"" }",,10,16,moderate,moderate,22.0,Female,United States,No,Part-Time,41.3699,-74.2191,6,12,low,low,4,4,4,0.16666666666666666,False,moderate,low,True,0,0.0,4,4,4,0.16666666666666666,False,moderate,moderate,False,1,0.5
